School,Conference,ProjectedPoints,NumberOfProspects,SchoolURL,SuggestedAuctionValue,LeagifyPosition,ProjectedPointsAboveAverage,ProjectedPointsAboveReplacement,AveragePointsForPosition,ReplacementValueAverageForPosition
San Diego State,FBS - Mountain West,22,3,https://d9ioojyvhqpok.cloudfront.net/8lk0itjyx8g1jxftz0jchjoh45ro,,Flex,-10.15,11,32.16,11
SMU,ACC,20,13,https://d9ioojyvhqpok.cloudfront.net/nxpzs66whtpfsd8epy2yvfnl7o1l,,ACC,-47,0,67,20
NC State,ACC,20,7,https://d9ioojyvhqpok.cloudfront.net/7fycbtf0wh1qkppyd2rk1262d70m,,ACC,-47,0,67,20
Northwestern,Big Ten,20,6,https://d9ioojyvhqpok.cloudfront.net/uzykooi74755tgvvarik104rhbwc,,Big Ten,-53.16,10,73.16,10
Boston College,ACC,19,4,https://d9ioojyvhqpok.cloudfront.net/pvnuj3g9p7wjnr5tqceycvcd3cyj,,ACC,-48,-1,67,20
Florida State,ACC,18,9,https://d9ioojyvhqpok.cloudfront.net/m93iek4mxqk3riqkjcnkn6750owr,,ACC,-49,-2,67,20
Kansas State,Big 12,18,3,https://d9ioojyvhqpok.cloudfront.net/cf5agfhv1kbdl5pdwue68uacixdr,,Big 12,-44.66,-6,62.66,24
North Dakota State,FCS,18,3,https://d9ioojyvhqpok.cloudfront.net/2bysk1tvl4fivjvr6l70tl6imxvx,,Flex,-14.15,7,32.16,11
Pitt,ACC,17,4,https://d9ioojyvhqpok.cloudfront.net/csd3a9od4s7wmvelf8ocfsz1iybj,,ACC,-50,-3,67,20
Iowa State,Big 12,17,3,https://d9ioojyvhqpok.cloudfront.net/4y3zdnc9x1vnvvqjvq8h1ocvbph1,,Big 12,-45.66,-7,62.66,24
Wisconsin,Big Ten,16,10,https://d9ioojyvhqpok.cloudfront.net/o4grd1s0303jrryu10vqeg74uw3y,,Big Ten,-57.16,6,73.16,10
Nebraska,Big Ten,16,8,https://d9ioojyvhqpok.cloudfront.net/bggpjlssuaua1w9xvmk0l6adeexb,,Big Ten,-57.16,6,73.16,10
BYU,Big 12,15,7,https://d9ioojyvhqpok.cloudfront.net/ckao4l33k79nnp9b84uvigzihrgs,,Big 12,-47.66,-9,62.66,24
Wake Forest,ACC,14,4,https://d9ioojyvhqpok.cloudfront.net/j2ohf1x4a1qpbbv4wc288wjlcxog,,ACC,-53,-6,67,20
Mississippi State,SEC,12,5,https://d9ioojyvhqpok.cloudfront.net/fx6nh0df2yp80txh0qv4lzengrnr,,SEC,-69.58,-24,81.58,36
California,ACC,12,5,https://d9ioojyvhqpok.cloudfront.net/auflw3knuli3lbv8xyfpf3isplcn,,ACC,-55,-8,67,20
Stanford,ACC,12,4,https://d9ioojyvhqpok.cloudfront.net/r84jnj5bajsm80wdy364ziid0z84,,ACC,-55,-8,67,20
Kansas,Big 12,11,9,https://d9ioojyvhqpok.cloudfront.net/3y3u2f1wfjxe2jgxqkfhh4bptcls,,Big 12,-51.66,-13,62.66,24
North Carolina,ACC,11,6,https://d9ioojyvhqpok.cloudfront.net/5c23eybxnlio9jxtkswlc2alkceh,,ACC,-56,-9,67,20
Boise State,FBS - Mountain West,11,5,https://d9ioojyvhqpok.cloudfront.net/uyicpybpsmloik4ba9lvjoehaht6,,Flex,-21.15,0,32.16,11
UConn,FBS - AAC,11,2,https://d9ioojyvhqpok.cloudfront.net/rbfl7zbsn9fqyx2083lv9qh3abo1,,Flex,-21.15,0,32.16,11
Navy,FBS - AAC,11,2,,,Flex,-21.15,0,32.16,11
Memphis,FBS - AAC,10,5,https://d9ioojyvhqpok.cloudfront.net/zapbfiasf58lmrmdciirdnudnb8e,,Flex,-22.15,-1,32.16,11
Michigan State,Big Ten,10,4,https://d9ioojyvhqpok.cloudfront.net/cg1n9n8hr8srlsf1f5n8hshp7hn4,,Big Ten,-63.16,0,73.16,10
Georgia State,FBS - Sun Belt,10,1,,,Flex,-22.15,-1,32.16,11
Virginia,ACC,9,5,https://d9ioojyvhqpok.cloudfront.net/n3p1twy2vglxg07gxs12mqum57ob,,ACC,-58,-11,67,20
Western Michigan,FBS - MAC,8,4,https://d9ioojyvhqpok.cloudfront.net/6smyc88ec4btmrfzo76q6s2l3922,,Flex,-24.15,-3,32.16,11
Southeastern Louisiana,FCS,8,1,,,Flex,-24.15,-3,32.16,11
Virginia Tech,ACC,7,7,https://d9ioojyvhqpok.cloudfront.net/zdyvvg0cti8zu96k5d3l9wjjk336,,ACC,-60,-13,67,20
UCLA,Big Ten,7,7,https://d9ioojyvhqpok.cloudfront.net/eg2j22sbnhfw3bbfn1tz41ejtehl,,Big Ten,-66.16,-3,73.16,10
Houston,Big 12,7,3,https://d9ioojyvhqpok.cloudfront.net/yzomr1qt1a1pdlbdwkkn94teus90,,Big 12,-55.66,-17,62.66,24
Maryland,Big Ten,7,3,https://d9ioojyvhqpok.cloudfront.net/d3n73hxgsb7bplz3zkxq5ubrewx4,,Big Ten,-66.16,-3,73.16,10
Wyoming,FBS - Mountain West,7,2,https://d9ioojyvhqpok.cloudfront.net/ep7hiz9nugk2psxcfwc5mj701dzf,,Flex,-25.15,-4,32.16,11
Colorado,Big 12,6,6,https://d9ioojyvhqpok.cloudfront.net/31k9h4jju8wo500iowlssig5xh2n,,Big 12,-56.66,-18,62.66,24
Stephen F. Austin,FCS,6,2,https://d9ioojyvhqpok.cloudfront.net/ygg24coxnmjx6wnjdsdfqy93oupp,,Flex,-26.15,-5,32.16,11
Syracuse,ACC,5,5,https://d9ioojyvhqpok.cloudfront.net/gxu8tigguesk475f4vlaryv7z5kr,,ACC,-62,-15,67,20
Miami (OH),FBS - MAC,5,5,https://d9ioojyvhqpok.cloudfront.net/ygn6xy9b08f21smi3h08xv63d310,,Flex,-27.15,-6,32.16,11
UTSA,FBS - AAC,5,4,https://d9ioojyvhqpok.cloudfront.net/ayy2o4qfgx3no4r54obep8ah3yvg,,Flex,-27.15,-6,32.16,11
Buffalo,FBS - MAC,5,1,https://d9ioojyvhqpok.cloudfront.net/i8kbv9ioldxrcyoirtm9nfzr6e5n,,Flex,-27.15,-6,32.16,11
John Carroll,D3,5,1,,,Flex,-27.15,-6,32.16,11
